message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:22.676119252Z
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:23.379123723Z
E0000 00:00:1779978983.172607       1 cuda_dnn.cc:8579] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:23.379137482Z
E0000 00:00:1779978983.177628       1 cuda_blas.cc:1407] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:23.379145004Z
W0000 00:00:1779978983.192447       1 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:23.379151762Z
W0000 00:00:1779978983.192467       1 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:23.379158267Z
W0000 00:00:1779978983.192465       1 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:23.379160557Z
"2026-05-28 14:36:23.141063: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.",error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:23.379200608Z
"2026-05-28 14:36:23.142533: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.",error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:23.379207449Z
"2026-05-28 14:36:23.145918: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.",error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:23.379212994Z
