Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Performance_Category,Study_Efficiency,Engagement_Score,Sleep_Study_Ratio,Support_Score,Academic_Readiness
23,84,0,2,0,7.0,73,0,1,0,0,1,0,2,3,0,0,0,0,Medium,3.0416666666666665,19.32,0.2916666666666667,0.75,0.292
19,64,0,1,0,8.0,59,0,1,2,1,1,0,0,4,0,1,1,1,Low,2.95,12.16,0.4,0.75,0.311
24,98,1,1,1,7.0,91,1,1,2,1,1,0,1,4,0,2,0,0,High,3.64,23.52,0.28,1.0,0.589
29,89,0,1,1,8.0,98,1,1,1,1,1,0,0,4,0,0,1,0,High,3.2666666666666666,25.81,0.26666666666666666,0.75,0.5795
19,92,1,1,1,6.0,65,1,1,3,1,2,0,1,4,0,1,0,1,High,3.25,17.48,0.3,1.0,0.5225
19,88,1,1,1,8.0,89,1,1,3,1,1,0,2,3,0,2,0,0,High,4.45,16.72,0.4,1.0,0.6185
29,84,1,1,1,7.0,68,0,1,1,0,1,1,1,2,0,0,1,0,Medium,2.2666666666666666,24.36,0.23333333333333334,0.75,0.3095
25,78,0,1,1,6.0,50,1,1,1,2,2,0,0,2,0,0,2,0,Low,1.9230769230769231,19.5,0.23076923076923078,1.0,0.38749999999999996
17,94,1,2,0,6.0,80,2,1,0,1,0,1,1,1,0,1,0,0,Medium,4.444444444444445,15.98,0.3333333333333333,1.25,0.6200000000000001
23,98,1,1,1,8.0,71,1,1,0,2,2,0,2,5,0,0,1,0,High,2.9583333333333335,22.54,0.3333333333333333,1.25,0.43399999999999994
17,80,0,2,0,8.0,88,1,0,4,1,2,1,1,4,0,1,1,0,Medium,4.888888888888889,13.6,0.4444444444444444,0.75,0.652
17,97,1,2,1,6.0,87,0,1,2,0,2,1,1,2,0,0,0,0,High,4.833333333333333,16.49,0.3333333333333333,1.0,0.42300000000000004
21,83,1,1,1,8.0,97,0,1,2,1,1,0,2,4,0,0,0,0,High,4.409090909090909,17.43,0.36363636363636365,1.0,0.463
9,82,1,1,1,8.0,72,1,1,2,1,1,1,2,3,0,2,0,0,Low,7.2,7.38,0.8,1.0,0.5129999999999999
10,78,1,2,1,8.0,74,1,1,1,0,1,1,1,4,0,2,0,0,Low,6.7272727272727275,7.8,0.7272727272727273,1.0,0.48349999999999993
